label,vectorMemory,reranker,adapter,index,dynamics,archiveBrains,archiveTracks,archiveObservations,trackLabel,cold,gen,popN,medCheckpoints,p90Checkpoints,maxCheckpoints,wallBumps,stillAlive,survival5s,survival10s,survivalEnd,bestFitness,bestLaps,bestLapMin,genSeconds
a3-r2-rect-from-tri,true,auto,sona,euclidean,false,30,0,26,Rectangle,false,30,1000,0,0,1,433,567,0.643,0.597,0.567,1,0,,15
a3-r2-rect-from-tri,true,auto,sona,euclidean,false,31,0,27,Rectangle,false,31,1000,0,1,2,429,571,0.647,0.6,0.571,2,0,,15
a3-r2-rect-from-tri,true,auto,sona,euclidean,false,32,0,29,Rectangle,false,32,1000,0,1,2,443,557,0.649,0.587,0.557,2,0,,15
a3-r2-rect-from-tri,true,auto,sona,euclidean,false,33,0,30,Rectangle,false,33,1000,0,1,2,429,571,0.684,0.607,0.571,2,0,,15
a3-r2-rect-from-tri,true,auto,sona,euclidean,false,34,0,32,Rectangle,false,34,1000,0,1,2,425,575,0.695,0.603,0.575,2,0,,15
a3-r2-rect-from-tri,true,auto,sona,euclidean,false,35,0,33,Rectangle,false,35,1000,0,1,2,478,522,0.635,0.553,0.522,2,0,,15
a3-r2-rect-from-tri,true,auto,sona,euclidean,false,36,0,34,Rectangle,false,36,1000,0,1,2,498,502,0.606,0.527,0.502,2,0,,15
a3-r2-rect-from-tri,true,auto,sona,euclidean,false,37,0,35,Rectangle,false,37,1000,0,1,2,519,481,0.581,0.501,0.481,2,0,,15
a3-r2-rect-from-tri,true,auto,sona,euclidean,false,38,0,36,Rectangle,false,38,1000,0,1,2,581,419,0.504,0.435,0.419,2,0,,15
a3-r2-rect-from-tri,true,auto,sona,euclidean,false,39,0,37,Rectangle,false,39,1000,1,1,3,578,422,0.51,0.44,0.422,3,0,,15
a3-r2-rect-from-tri,true,auto,sona,euclidean,false,40,0,38,Rectangle,false,40,1000,1,1,3,593,407,0.515,0.433,0.407,3,0,,15
a3-r2-rect-from-tri,true,auto,sona,euclidean,false,41,0,39,Rectangle,false,41,1000,1,1,2,598,402,0.481,0.412,0.402,2,0,,15
a3-r2-rect-from-tri,true,auto,sona,euclidean,false,42,0,40,Rectangle,false,42,1000,1,1,2,589,411,0.488,0.426,0.411,2,0,,15
a3-r2-rect-from-tri,true,auto,sona,euclidean,false,43,0,40,Rectangle,false,43,1000,1,1,2,599,401,0.481,0.417,0.401,2,0,,15
a3-r2-rect-from-tri,true,auto,sona,euclidean,false,44,0,42,Rectangle,false,44,1000,1,1,2,630,370,0.436,0.384,0.37,2,0,,15
a3-r2-rect-from-tri,true,auto,sona,euclidean,false,45,0,43,Rectangle,false,45,1000,1,1,3,649,351,0.423,0.36,0.351,3,0,,15
a3-r2-rect-from-tri,true,auto,sona,euclidean,false,46,0,44,Rectangle,false,46,1000,1,1,2,606,394,0.451,0.405,0.394,2,0,,15
a3-r2-rect-from-tri,true,auto,sona,euclidean,false,47,0,45,Rectangle,false,47,1000,1,1,2,620,380,0.459,0.398,0.38,2,0,,15
a3-r2-rect-from-tri,true,auto,sona,euclidean,false,48,0,45,Rectangle,false,48,1000,1,1,2,645,355,0.383,0.357,0.355,2,0,,15
a3-r2-rect-from-tri,true,auto,sona,euclidean,false,49,0,46,Rectangle,false,49,1000,1,1,2,615,385,0.442,0.39,0.385,2,0,,15
a3-r2-rect-from-tri,true,auto,sona,euclidean,false,50,0,47,Rectangle,false,50,1000,1,1,3,619,381,0.425,0.389,0.381,3,0,,15
a3-r2-rect-from-tri,true,auto,sona,euclidean,false,51,0,48,Rectangle,false,51,1000,1,1,3,621,379,0.425,0.384,0.379,5,1,9.57,15
a3-r2-rect-from-tri,true,auto,sona,euclidean,false,52,0,49,Rectangle,false,52,1000,1,1,3,639,361,0.417,0.367,0.361,5,1,10.38,15
a3-r2-rect-from-tri,true,auto,sona,euclidean,false,53,0,51,Rectangle,false,53,1000,1,1,3,602,398,0.414,0.4,0.398,4,1,9.85,15
a3-r2-rect-from-tri,true,auto,sona,euclidean,false,54,0,52,Rectangle,false,54,1000,1,1,3,573,427,0.462,0.436,0.427,4,1,9.5,15
a3-r2-rect-from-tri,true,auto,sona,euclidean,false,55,0,53,Rectangle,false,55,1000,0,1,3,539,461,0.493,0.467,0.461,5,1,10,15
a3-r2-rect-from-tri,true,auto,sona,euclidean,false,56,0,54,Rectangle,false,56,1000,0,1,3,558,442,0.479,0.448,0.442,4,1,11.32,15
a3-r2-rect-from-tri,true,auto,sona,euclidean,false,57,0,55,Rectangle,false,57,1000,0,1,3,505,495,0.529,0.504,0.495,5,1,9.6,15
a3-r2-rect-from-tri,true,auto,sona,euclidean,false,58,0,56,Rectangle,false,58,1000,0,1,3,522,478,0.506,0.484,0.478,5,1,10.23,15
a3-r2-rect-from-tri,true,auto,sona,euclidean,false,59,0,57,Rectangle,false,59,1000,0,1,3,460,540,0.578,0.546,0.54,5,1,9.77,15
