label,vectorMemory,reranker,adapter,index,dynamics,archiveBrains,archiveTracks,archiveObservations,trackLabel,cold,gen,popN,medCheckpoints,p90Checkpoints,maxCheckpoints,wallBumps,stillAlive,survival5s,survival10s,survivalEnd,bestFitness,bestLaps,bestLapMin,genSeconds
a3-r3-tri,true,auto,sona,euclidean,false,0,0,0,Triangle,true,0,1000,1,1,2,506,494,0.547,0.495,0.494,2,0,,15
a3-r3-tri,true,auto,sona,euclidean,false,1,0,0,Triangle,true,1,1000,1,2,2,453,547,0.788,0.552,0.547,2,0,,15
a3-r3-tri,true,auto,sona,euclidean,false,2,0,1,Triangle,true,2,1000,1,2,2,439,561,0.788,0.565,0.561,2,0,,15
a3-r3-tri,true,auto,sona,euclidean,false,3,0,2,Triangle,true,3,1000,1,2,2,437,563,0.781,0.563,0.563,2,0,,15
a3-r3-tri,true,auto,sona,euclidean,false,4,0,3,Triangle,true,4,1000,1,2,2,458,542,0.788,0.544,0.542,2,0,,15
a3-r3-tri,true,auto,sona,euclidean,false,5,0,4,Triangle,true,5,1000,1,2,2,441,559,0.808,0.56,0.559,2,0,,15
a3-r3-tri,true,auto,sona,euclidean,false,6,0,5,Triangle,true,6,1000,1,2,2,439,561,0.795,0.563,0.561,2,0,,15
a3-r3-tri,true,auto,sona,euclidean,false,7,0,6,Triangle,true,7,1000,1,2,2,431,569,0.811,0.569,0.569,2,0,,15
a3-r3-tri,true,auto,sona,euclidean,false,8,0,7,Triangle,true,8,1000,1,2,2,447,553,0.802,0.557,0.553,2,0,,15
a3-r3-tri,true,auto,sona,euclidean,false,9,0,8,Triangle,true,9,1000,1,2,2,447,553,0.81,0.557,0.553,2,0,,15
a3-r3-tri,true,auto,sona,euclidean,false,10,0,9,Triangle,true,10,1000,1,2,2,438,562,0.788,0.565,0.562,2,0,,15
a3-r3-tri,true,auto,sona,euclidean,false,11,0,10,Triangle,true,11,1000,1,2,2,435,565,0.821,0.572,0.565,2,0,,15
a3-r3-tri,true,auto,sona,euclidean,false,12,0,11,Triangle,true,12,1000,1,2,2,438,562,0.794,0.564,0.562,2,0,,15
a3-r3-tri,true,auto,sona,euclidean,false,13,0,12,Triangle,true,13,1000,1,2,2,454,546,0.787,0.55,0.546,2,0,,15
a3-r3-tri,true,auto,sona,euclidean,false,14,0,13,Triangle,true,14,1000,1,2,2,469,531,0.773,0.532,0.531,2,0,,15
a3-r3-tri,true,auto,sona,euclidean,false,15,0,14,Triangle,true,15,1000,1,2,2,447,553,0.793,0.556,0.553,2,0,,15
a3-r3-tri,true,auto,sona,euclidean,false,16,0,15,Triangle,true,16,1000,1,2,2,440,560,0.804,0.562,0.56,2,0,,15
a3-r3-tri,true,auto,sona,euclidean,false,17,0,15,Triangle,true,17,1000,1,2,2,432,568,0.784,0.569,0.568,2,0,,15
a3-r3-tri,true,auto,sona,euclidean,false,18,0,16,Triangle,true,18,1000,1,2,2,481,519,0.786,0.52,0.519,2,0,,15
a3-r3-tri,true,auto,sona,euclidean,false,19,0,18,Triangle,true,19,1000,1,2,2,421,579,0.818,0.581,0.579,2,0,,15
a3-r3-tri,true,auto,sona,euclidean,false,20,0,18,Triangle,true,20,1000,1,2,2,455,545,0.783,0.546,0.545,2,0,,15
a3-r3-tri,true,auto,sona,euclidean,false,21,0,20,Triangle,true,21,1000,1,2,2,441,559,0.809,0.562,0.559,2,0,,15
a3-r3-tri,true,auto,sona,euclidean,false,22,0,20,Triangle,true,22,1000,1,2,2,465,535,0.78,0.537,0.535,2,0,,15
a3-r3-tri,true,auto,sona,euclidean,false,23,0,20,Triangle,true,23,1000,1,2,2,459,541,0.783,0.545,0.541,2,0,,15
a3-r3-tri,true,auto,sona,euclidean,false,24,0,22,Triangle,true,24,1000,1,2,2,448,552,0.797,0.557,0.552,2,0,,15
a3-r3-tri,true,auto,sona,euclidean,false,25,0,23,Triangle,true,25,1000,1,2,2,440,560,0.81,0.564,0.56,2,0,,15
a3-r3-tri,true,auto,sona,euclidean,false,26,0,23,Triangle,true,26,1000,1,2,2,403,597,0.807,0.598,0.597,2,0,,15
a3-r3-tri,true,auto,sona,euclidean,false,27,0,24,Triangle,true,27,1000,1,2,2,441,559,0.78,0.561,0.559,2,0,,15
a3-r3-tri,true,auto,sona,euclidean,false,28,0,25,Triangle,true,28,1000,1,2,2,437,563,0.798,0.566,0.563,2,0,,15
a3-r3-tri,true,auto,sona,euclidean,false,29,0,26,Triangle,true,29,1000,1,2,2,442,558,0.777,0.561,0.558,2,0,,15
