label,vectorMemory,reranker,adapter,index,dynamics,archiveBrains,archiveTracks,archiveObservations,trackLabel,cold,gen,popN,medCheckpoints,p90Checkpoints,maxCheckpoints,wallBumps,stillAlive,survival5s,survival10s,survivalEnd,bestFitness,bestLaps,bestLapMin,genSeconds
offset-only-cold-rect,true,auto,sona,euclidean,false,1,0,0,Rectangle,true,0,1000,1,1,1,714,286,0.292,0.288,0.286,1,0,,15
offset-only-cold-rect,true,auto,sona,euclidean,false,2,0,1,Rectangle,true,1,1000,1,1,2,686,314,0.317,0.315,0.314,2,0,,15
offset-only-cold-rect,true,auto,sona,euclidean,false,3,0,2,Rectangle,true,2,1000,1,1,3,648,352,0.368,0.357,0.352,3,0,,15
offset-only-cold-rect,true,auto,sona,euclidean,false,4,0,3,Rectangle,true,3,1000,1,1,3,625,375,0.391,0.377,0.375,3,0,,15
offset-only-cold-rect,true,auto,sona,euclidean,false,5,0,4,Rectangle,true,4,1000,1,1,3,617,383,0.412,0.387,0.383,3,0,,15
offset-only-cold-rect,true,auto,sona,euclidean,false,6,0,5,Rectangle,true,5,1000,1,1,3,584,416,0.452,0.423,0.416,3,0,,15
offset-only-cold-rect,true,auto,sona,euclidean,false,7,0,6,Rectangle,true,6,1000,1,1,3,615,385,0.421,0.398,0.385,3,0,,15
offset-only-cold-rect,true,auto,sona,euclidean,false,8,0,7,Rectangle,true,7,1000,1,1,3,615,385,0.416,0.392,0.385,4,1,10.57,15
offset-only-cold-rect,true,auto,sona,euclidean,false,9,0,8,Rectangle,true,8,1000,1,1,3,603,397,0.424,0.402,0.397,4,1,10.32,15
offset-only-cold-rect,true,auto,sona,euclidean,false,10,0,9,Rectangle,true,9,1000,1,1,3,562,438,0.475,0.446,0.438,3,0,,15
offset-only-cold-rect,true,auto,sona,euclidean,false,11,0,10,Rectangle,true,10,1000,1,1,3,561,439,0.482,0.452,0.439,3,0,,15
offset-only-cold-rect,true,auto,sona,euclidean,false,12,0,11,Rectangle,true,11,1000,1,1,3,568,432,0.467,0.448,0.432,3,0,,15
offset-only-cold-rect,true,auto,sona,euclidean,false,13,0,12,Rectangle,true,12,1000,1,1,3,578,422,0.456,0.432,0.422,4,1,10.6,15
offset-only-cold-rect,true,auto,sona,euclidean,false,14,0,13,Rectangle,true,13,1000,1,1,3,579,421,0.461,0.431,0.421,4,1,10.6,15
offset-only-cold-rect,true,auto,sona,euclidean,false,15,0,14,Rectangle,true,14,1000,1,1,3,577,423,0.464,0.438,0.423,3,0,,15
offset-only-cold-rect,true,auto,sona,euclidean,false,16,0,15,Rectangle,true,15,1000,1,1,3,548,452,0.501,0.467,0.452,4,1,10.32,15
offset-only-cold-rect,true,auto,sona,euclidean,false,17,0,16,Rectangle,true,16,1000,1,1,3,545,455,0.494,0.467,0.455,4,1,10.32,15
offset-only-cold-rect,true,auto,sona,euclidean,false,18,0,17,Rectangle,true,17,1000,1,1,3,566,434,0.48,0.451,0.434,4,1,10.6,15
offset-only-cold-rect,true,auto,sona,euclidean,false,19,0,18,Rectangle,true,18,1000,1,1,3,581,419,0.455,0.428,0.419,4,1,10.32,15
offset-only-cold-rect,true,auto,sona,euclidean,false,20,0,19,Rectangle,true,19,1000,1,1,3,545,455,0.495,0.472,0.455,4,1,10.6,15
offset-only-cold-rect,true,auto,sona,euclidean,false,21,0,20,Rectangle,true,20,1000,1,1,3,549,451,0.49,0.463,0.451,4,1,12.37,15
offset-only-cold-rect,true,auto,sona,euclidean,false,22,0,21,Rectangle,true,21,1000,1,1,3,562,438,0.484,0.456,0.438,4,1,10.32,15
offset-only-cold-rect,true,auto,sona,euclidean,false,23,0,22,Rectangle,true,22,1000,1,1,3,542,458,0.502,0.47,0.458,4,1,10.32,15
offset-only-cold-rect,true,auto,sona,euclidean,false,24,0,23,Rectangle,true,23,1000,1,1,3,595,405,0.451,0.423,0.405,4,1,10.32,15
offset-only-cold-rect,true,auto,sona,euclidean,false,25,0,24,Rectangle,true,24,1000,1,1,3,572,428,0.464,0.44,0.428,4,1,12.35,15
offset-only-cold-rect,true,auto,sona,euclidean,false,26,0,24,Rectangle,true,25,1000,1,1,3,566,434,0.487,0.452,0.434,4,1,10.6,15
offset-only-cold-rect,true,auto,sona,euclidean,false,27,0,25,Rectangle,true,26,1000,1,1,3,537,463,0.505,0.479,0.463,4,1,10.6,15
offset-only-cold-rect,true,auto,sona,euclidean,false,28,0,27,Rectangle,true,27,1000,1,1,3,546,454,0.504,0.469,0.454,4,1,13.38,15
offset-only-cold-rect,true,auto,sona,euclidean,false,29,0,28,Rectangle,true,28,1000,1,1,3,531,469,0.505,0.481,0.469,4,1,11.22,15
offset-only-cold-rect,true,auto,sona,euclidean,false,30,0,29,Rectangle,true,29,1000,0,1,3,539,461,0.498,0.472,0.461,4,1,12.28,15
