label,vectorMemory,reranker,adapter,index,dynamics,archiveBrains,archiveTracks,archiveObservations,trackLabel,cold,gen,popN,medCheckpoints,p90Checkpoints,maxCheckpoints,wallBumps,stillAlive,survival5s,survival10s,survivalEnd,bestFitness,bestLaps,bestLapMin,genSeconds
same-r2-warm,true,auto,sona,euclidean,false,30,0,25,Triangle,false,30,1000,1,2,2,756,244,0.453,0.247,0.244,2,0,,15
same-r2-warm,true,auto,sona,euclidean,false,31,0,27,Triangle,false,31,1000,1,2,2,778,222,0.445,0.222,0.222,2,0,,15
same-r2-warm,true,auto,sona,euclidean,false,32,0,29,Triangle,false,32,1000,1,2,2,769,231,0.461,0.232,0.231,2,0,,15
same-r2-warm,true,auto,sona,euclidean,false,33,0,30,Triangle,false,33,1000,1,2,2,781,219,0.444,0.219,0.219,2,0,,15
same-r2-warm,true,auto,sona,euclidean,false,34,0,31,Triangle,false,34,1000,1,2,2,783,217,0.458,0.219,0.217,2,0,,15
same-r2-warm,true,auto,sona,euclidean,false,35,0,31,Triangle,false,35,1000,1,2,2,782,218,0.452,0.22,0.218,2,0,,15
same-r2-warm,true,auto,sona,euclidean,false,36,0,32,Triangle,false,36,1000,1,2,2,772,228,0.475,0.231,0.228,2,0,,15
same-r2-warm,true,auto,sona,euclidean,false,37,0,34,Triangle,false,37,1000,1,2,2,778,222,0.465,0.222,0.222,2,0,,15
same-r2-warm,true,auto,sona,euclidean,false,38,0,37,Triangle,false,38,1000,1,2,2,775,225,0.444,0.228,0.225,2,0,,15
same-r2-warm,true,auto,sona,euclidean,false,39,0,37,Triangle,false,39,1000,1,2,2,783,217,0.461,0.217,0.217,2,0,,15
same-r2-warm,true,auto,sona,euclidean,false,40,0,38,Triangle,false,40,1000,1,2,2,765,235,0.481,0.236,0.235,2,0,,15
same-r2-warm,true,auto,sona,euclidean,false,41,0,38,Triangle,false,41,1000,1,2,2,794,206,0.424,0.207,0.206,2,0,,15
same-r2-warm,true,auto,sona,euclidean,false,42,0,39,Triangle,false,42,1000,1,2,2,794,206,0.432,0.21,0.206,2,0,,15
same-r2-warm,true,auto,sona,euclidean,false,43,0,40,Triangle,false,43,1000,1,2,2,777,223,0.452,0.224,0.223,2,0,,15
same-r2-warm,true,auto,sona,euclidean,false,44,0,41,Triangle,false,44,1000,1,2,2,776,224,0.435,0.228,0.224,2,0,,15
same-r2-warm,true,auto,sona,euclidean,false,45,0,42,Triangle,false,45,1000,1,2,2,765,235,0.454,0.24,0.235,2,0,,15
same-r2-warm,true,auto,sona,euclidean,false,46,0,42,Triangle,false,46,1000,1,2,2,783,217,0.435,0.221,0.217,2,0,,15
same-r2-warm,true,auto,sona,euclidean,false,47,0,42,Triangle,false,47,1000,1,2,2,773,227,0.445,0.227,0.227,2,0,,15
same-r2-warm,true,auto,sona,euclidean,false,48,0,43,Triangle,false,48,1000,1,2,2,782,218,0.457,0.221,0.218,2,0,,15
same-r2-warm,true,auto,sona,euclidean,false,49,0,43,Triangle,false,49,1000,1,2,2,773,227,0.453,0.227,0.227,2,0,,15
same-r2-warm,true,auto,sona,euclidean,false,50,0,44,Triangle,false,50,1000,1,2,2,784,216,0.434,0.219,0.216,2,0,,15
same-r2-warm,true,auto,sona,euclidean,false,51,0,46,Triangle,false,51,1000,1,2,2,780,220,0.429,0.22,0.22,2,0,,15
same-r2-warm,true,auto,sona,euclidean,false,52,0,46,Triangle,false,52,1000,1,2,2,773,227,0.457,0.23,0.227,2,0,,15
same-r2-warm,true,auto,sona,euclidean,false,53,0,47,Triangle,false,53,1000,1,2,2,789,211,0.448,0.214,0.211,2,0,,15
same-r2-warm,true,auto,sona,euclidean,false,54,0,48,Triangle,false,54,1000,1,2,2,788,212,0.447,0.213,0.212,2,0,,15
same-r2-warm,true,auto,sona,euclidean,false,55,0,49,Triangle,false,55,1000,1,2,2,769,231,0.443,0.231,0.231,2,0,,15
same-r2-warm,true,auto,sona,euclidean,false,56,0,50,Triangle,false,56,1000,1,2,2,798,202,0.443,0.203,0.202,2,0,,15
same-r2-warm,true,auto,sona,euclidean,false,57,0,51,Triangle,false,57,1000,1,2,2,783,217,0.443,0.217,0.217,2,0,,15
same-r2-warm,true,auto,sona,euclidean,false,58,0,52,Triangle,false,58,1000,1,2,2,745,255,0.479,0.256,0.255,2,0,,15
same-r2-warm,true,auto,sona,euclidean,false,59,0,53,Triangle,false,59,1000,1,2,2,764,236,0.458,0.236,0.236,2,0,,15
