label,vectorMemory,reranker,adapter,index,dynamics,archiveBrains,archiveTracks,archiveObservations,trackLabel,cold,gen,popN,medCheckpoints,p90Checkpoints,maxCheckpoints,wallBumps,stillAlive,survival5s,survival10s,survivalEnd,bestFitness,bestLaps,bestLapMin,genSeconds
p3-cold-tri-rep3,true,auto,sona,euclidean,false,0,0,0,Triangle,true,0,1000,1,1,2,540,460,0.541,0.462,0.46,2,0,,15
p3-cold-tri-rep3,true,auto,sona,euclidean,false,1,0,0,Triangle,true,1,1000,1,2,2,680,320,0.556,0.363,0.32,2,0,,15
p3-cold-tri-rep3,true,auto,sona,euclidean,false,2,0,1,Triangle,true,2,1000,1,2,2,705,295,0.547,0.352,0.295,2,0,,15
p3-cold-tri-rep3,true,auto,sona,euclidean,false,3,0,2,Triangle,true,3,1000,1,2,2,701,299,0.553,0.341,0.299,2,0,,15
p3-cold-tri-rep3,true,auto,sona,euclidean,false,4,0,3,Triangle,true,4,1000,1,2,2,694,306,0.568,0.345,0.306,2,0,,15
p3-cold-tri-rep3,true,auto,sona,euclidean,false,5,0,4,Triangle,true,5,1000,1,2,2,693,307,0.568,0.348,0.307,2,0,,15
p3-cold-tri-rep3,true,auto,sona,euclidean,false,6,0,5,Triangle,true,6,1000,1,2,2,734,266,0.535,0.311,0.266,2,0,,15
p3-cold-tri-rep3,true,auto,sona,euclidean,false,7,0,6,Triangle,true,7,1000,1,2,2,706,294,0.553,0.337,0.294,2,0,,15
p3-cold-tri-rep3,true,auto,sona,euclidean,false,8,0,7,Triangle,true,8,1000,1,2,2,717,283,0.506,0.323,0.283,2,0,,15
p3-cold-tri-rep3,true,auto,sona,euclidean,false,9,0,8,Triangle,true,9,1000,1,2,2,699,301,0.549,0.336,0.301,2,0,,15
p3-cold-tri-rep3,true,auto,sona,euclidean,false,10,0,9,Triangle,true,10,1000,1,2,2,688,312,0.566,0.352,0.312,2,0,,15
p3-cold-tri-rep3,true,auto,sona,euclidean,false,11,0,10,Triangle,true,11,1000,1,2,2,734,266,0.519,0.304,0.266,2,0,,15
p3-cold-tri-rep3,true,auto,sona,euclidean,false,12,0,10,Triangle,true,12,1000,1,2,2,693,307,0.537,0.347,0.307,2,0,,15
p3-cold-tri-rep3,true,auto,sona,euclidean,false,13,0,11,Triangle,true,13,1000,1,2,2,702,298,0.553,0.329,0.298,2,0,,15
p3-cold-tri-rep3,true,auto,sona,euclidean,false,14,0,12,Triangle,true,14,1000,1,2,2,712,288,0.516,0.322,0.288,2,0,,15
p3-cold-tri-rep3,true,auto,sona,euclidean,false,15,0,13,Triangle,true,15,1000,1,2,2,685,315,0.584,0.357,0.315,2,0,,15
p3-cold-tri-rep3,true,auto,sona,euclidean,false,16,0,13,Triangle,true,16,1000,1,2,2,711,289,0.546,0.331,0.289,2,0,,15
p3-cold-tri-rep3,true,auto,sona,euclidean,false,17,0,16,Triangle,true,17,1000,1,2,2,694,306,0.538,0.345,0.306,2,0,,15
p3-cold-tri-rep3,true,auto,sona,euclidean,false,18,0,17,Triangle,true,18,1000,1,2,2,678,322,0.572,0.362,0.322,2,0,,15
p3-cold-tri-rep3,true,auto,sona,euclidean,false,19,0,18,Triangle,true,19,1000,1,2,2,703,297,0.539,0.332,0.297,2,0,,15
p3-cold-tri-rep3,true,auto,sona,euclidean,false,20,0,19,Triangle,true,20,1000,1,2,2,720,280,0.527,0.322,0.28,2,0,,15
p3-cold-tri-rep3,true,auto,sona,euclidean,false,21,0,20,Triangle,true,21,1000,1,2,2,718,282,0.536,0.317,0.282,2,0,,15
p3-cold-tri-rep3,true,auto,sona,euclidean,false,22,0,20,Triangle,true,22,1000,1,2,2,704,296,0.553,0.336,0.296,2,0,,15
p3-cold-tri-rep3,true,auto,sona,euclidean,false,23,0,20,Triangle,true,23,1000,1,2,2,691,309,0.547,0.353,0.309,2,0,,15
p3-cold-tri-rep3,true,auto,sona,euclidean,false,24,0,21,Triangle,true,24,1000,1,2,2,705,295,0.517,0.335,0.295,2,0,,15
p3-cold-tri-rep3,true,auto,sona,euclidean,false,25,0,23,Triangle,true,25,1000,1,2,2,699,301,0.555,0.339,0.301,2,0,,15
p3-cold-tri-rep3,true,auto,sona,euclidean,false,26,0,24,Triangle,true,26,1000,1,2,2,722,278,0.524,0.32,0.278,2,0,,15
p3-cold-tri-rep3,true,auto,sona,euclidean,false,27,0,25,Triangle,true,27,1000,1,2,2,725,275,0.533,0.318,0.275,2,0,,15
p3-cold-tri-rep3,true,auto,sona,euclidean,false,28,0,25,Triangle,true,28,1000,1,2,2,718,282,0.519,0.33,0.282,2,0,,15
p3-cold-tri-rep3,true,auto,sona,euclidean,false,29,0,25,Triangle,true,29,1000,1,2,2,717,283,0.526,0.323,0.283,2,0,,15
