label,vectorMemory,reranker,adapter,index,dynamics,archiveBrains,archiveTracks,archiveObservations,trackLabel,cold,gen,popN,medCheckpoints,p90Checkpoints,maxCheckpoints,wallBumps,stillAlive,survival5s,survival10s,survivalEnd,bestFitness,bestLaps,bestLapMin,genSeconds
p3-cold-tri-rep1,true,auto,sona,euclidean,false,0,0,0,Triangle,true,0,1000,1,1,2,531,469,0.55,0.472,0.469,2,0,,15
p3-cold-tri-rep1,true,auto,sona,euclidean,false,1,1,0,Triangle,true,1,1000,2,2,2,786,214,0.778,0.215,0.214,2,0,,15
p3-cold-tri-rep1,true,auto,sona,euclidean,false,2,1,1,Triangle,true,2,1000,2,2,2,770,230,0.789,0.23,0.23,2,0,,15
p3-cold-tri-rep1,true,auto,sona,euclidean,false,3,1,2,Triangle,true,3,1000,2,2,2,785,215,0.79,0.216,0.215,2,0,,15
p3-cold-tri-rep1,true,auto,sona,euclidean,false,4,1,3,Triangle,true,4,1000,2,2,2,801,199,0.787,0.202,0.199,2,0,,15
p3-cold-tri-rep1,true,auto,sona,euclidean,false,5,1,4,Triangle,true,5,1000,2,2,2,765,235,0.793,0.236,0.235,2,0,,15
p3-cold-tri-rep1,true,auto,sona,euclidean,false,6,1,5,Triangle,true,6,1000,2,2,2,770,230,0.794,0.233,0.23,2,0,,15
p3-cold-tri-rep1,true,auto,sona,euclidean,false,7,1,6,Triangle,true,7,1000,2,2,2,775,225,0.803,0.226,0.225,2,0,,15
p3-cold-tri-rep1,true,auto,sona,euclidean,false,8,1,7,Triangle,true,8,1000,2,2,2,757,243,0.804,0.245,0.243,2,0,,15
p3-cold-tri-rep1,true,auto,sona,euclidean,false,9,1,8,Triangle,true,9,1000,2,2,2,781,219,0.797,0.222,0.219,2,0,,15
p3-cold-tri-rep1,true,auto,sona,euclidean,false,10,1,9,Triangle,true,10,1000,2,2,2,791,209,0.79,0.212,0.209,2,0,,15
p3-cold-tri-rep1,true,auto,sona,euclidean,false,11,1,10,Triangle,true,11,1000,2,2,2,783,217,0.791,0.22,0.217,2,0,,15
p3-cold-tri-rep1,true,auto,sona,euclidean,false,12,1,10,Triangle,true,12,1000,2,2,2,769,231,0.805,0.234,0.231,2,0,,15
p3-cold-tri-rep1,true,auto,sona,euclidean,false,13,1,11,Triangle,true,13,1000,2,2,2,768,232,0.802,0.234,0.232,2,0,,15
p3-cold-tri-rep1,true,auto,sona,euclidean,false,14,1,12,Triangle,true,14,1000,2,2,2,758,242,0.815,0.244,0.242,2,0,,15
p3-cold-tri-rep1,true,auto,sona,euclidean,false,15,1,13,Triangle,true,15,1000,2,2,2,783,217,0.792,0.218,0.217,2,0,,15
p3-cold-tri-rep1,true,auto,sona,euclidean,false,16,1,13,Triangle,true,16,1000,2,2,2,788,212,0.79,0.214,0.212,2,0,,15
p3-cold-tri-rep1,true,auto,sona,euclidean,false,17,1,16,Triangle,true,17,1000,2,2,2,781,219,0.79,0.221,0.219,2,0,,15
p3-cold-tri-rep1,true,auto,sona,euclidean,false,18,1,17,Triangle,true,18,1000,2,2,2,800,200,0.783,0.201,0.2,2,0,,15
p3-cold-tri-rep1,true,auto,sona,euclidean,false,19,1,18,Triangle,true,19,1000,2,2,2,764,236,0.812,0.237,0.236,2,0,,15
p3-cold-tri-rep1,true,auto,sona,euclidean,false,20,1,19,Triangle,true,20,1000,2,2,2,767,233,0.814,0.234,0.233,2,0,,15
p3-cold-tri-rep1,true,auto,sona,euclidean,false,21,1,20,Triangle,true,21,1000,2,2,2,776,224,0.804,0.225,0.224,2,0,,15
p3-cold-tri-rep1,true,auto,sona,euclidean,false,22,1,20,Triangle,true,22,1000,2,2,2,789,211,0.792,0.212,0.211,2,0,,15
p3-cold-tri-rep1,true,auto,sona,euclidean,false,23,1,20,Triangle,true,23,1000,2,2,2,763,237,0.802,0.238,0.237,2,0,,15
p3-cold-tri-rep1,true,auto,sona,euclidean,false,24,1,21,Triangle,true,24,1000,2,2,2,792,208,0.776,0.212,0.208,2,0,,15
p3-cold-tri-rep1,true,auto,sona,euclidean,false,25,1,23,Triangle,true,25,1000,2,2,2,783,217,0.793,0.22,0.217,2,0,,15
p3-cold-tri-rep1,true,auto,sona,euclidean,false,26,1,24,Triangle,true,26,1000,2,2,2,790,210,0.8,0.214,0.21,2,0,,15
p3-cold-tri-rep1,true,auto,sona,euclidean,false,27,1,25,Triangle,true,27,1000,2,2,2,769,231,0.785,0.234,0.231,2,0,,15
p3-cold-tri-rep1,true,auto,sona,euclidean,false,28,1,25,Triangle,true,28,1000,2,2,2,776,224,0.785,0.227,0.224,2,0,,15
p3-cold-tri-rep1,true,auto,sona,euclidean,false,29,1,25,Triangle,true,29,1000,2,2,2,762,238,0.809,0.239,0.238,2,0,,15
